Epoch,Time(s),Loss,F1
00459,0.6455,0.3072,0.1756
00460,0.6458,0.3191,0.3187
00461,0.6457,0.3073,0.2894
00462,0.6456,0.3191,0.1965
00463,0.6453,0.3098,0.3195
00464,0.6452,0.3160,0.2506
00465,0.6449,0.3043,0.2326
00466,0.6446,0.3118,0.2513
00467,0.6443,0.3036,0.2864
00468,0.6440,0.3035,0.2505
00469,0.6437,0.3043,0.2383
00470,0.6437,0.3043,0.2945
00471,0.6435,0.3054,0.2692
00472,0.6434,0.3015,0.2603
00473,0.6437,0.3027,0.3004
00474,0.6439,0.3014,0.2734
00475,0.6442,0.3004,0.2896
00476,0.6448,0.3000,0.3003
00477,0.6449,0.2997,0.2805
00478,0.6448,0.3000,0.2906
00479,0.6444,0.2993,0.3000
00480,0.6444,0.2989,0.2766
00481,0.6442,0.2983,0.2993
00482,0.6441,0.2980,0.2841
00483,0.6442,0.2975,0.2812
00484,0.6440,0.2978,0.2969
00485,0.6438,0.2974,0.2741
00486,0.6435,0.2969,0.2977
00487,0.6433,0.2965,0.2829
00488,0.6430,0.2965,0.2971
00489,0.6432,0.2961,0.2974
00490,0.6435,0.2958,0.2948
00491,0.6438,0.2958,0.3071
00492,0.6442,0.2955,0.2870
00493,0.6445,0.2953,0.3089
00494,0.6444,0.2952,0.2829
00495,0.6441,0.2951,0.3189
00496,0.6439,0.2951,0.2739
00497,0.6436,0.2954,0.3359
00498,0.6433,0.2959,0.2451
00499,0.6431,0.2982,0.3603
00500,0.6428,0.2995,0.2218
00501,0.6425,0.3029,0.3534
00502,0.6424,0.2982,0.2719
00503,0.6422,0.2945,0.2686
00504,0.6420,0.2945,0.3388
00505,0.6417,0.2964,0.2568
00506,0.6421,0.2953,0.2892
00507,0.6425,0.2934,0.3358
00508,0.6428,0.2952,0.2601
00509,0.6434,0.2955,0.3100
00510,0.6434,0.2930,0.3325
00511,0.6434,0.2940,0.2679
00512,0.6434,0.2958,0.3250
00513,0.6433,0.2943,0.3211
00514,0.6433,0.2941,0.2479
00515,0.6432,0.2964,0.3434
00516,0.6430,0.2950,0.2753
00517,0.6428,0.2940,0.2962
00518,0.6427,0.2934,0.3297
00519,0.6427,0.2930,0.2762
00520,0.6425,0.2925,0.3057
00521,0.6425,0.2927,0.3134
00522,0.6427,0.2938,0.2978
00523,0.6429,0.2933,0.3111
00524,0.6433,0.2916,0.3185
00525,0.6436,0.2922,0.2931
00526,0.6435,0.2933,0.3118
00527,0.6433,0.2923,0.3262
00528,0.6432,0.2915,0.2887
00529,0.6430,0.2918,0.3269
00530,0.6427,0.2920,0.2981
00531,0.6426,0.2913,0.2999
00532,0.6425,0.2908,0.3343
00533,0.6424,0.2914,0.2844
00534,0.6424,0.2918,0.3368
00535,0.6422,0.2914,0.2886
00536,0.6421,0.2911,0.3291
00537,0.6421,0.2917,0.2837
00538,0.6423,0.2936,0.3379
00539,0.6427,0.2924,0.2682
00540,0.6428,0.2931,0.3559
00541,0.6430,0.2924,0.2646
00542,0.6433,0.2933,0.3543
00543,0.6432,0.2923,0.2833
00544,0.6430,0.2908,0.3164
00545,0.6430,0.2899,0.3320
00546,0.6429,0.2901,0.2793
00547,0.6427,0.2912,0.3561
00548,0.6424,0.2914,0.2730
00549,0.6422,0.2915,0.3453
00550,0.6420,0.2905,0.2958
00551,0.6417,0.2902,0.3215
00552,0.6417,0.2901,0.3182
00553,0.6415,0.2911,0.3015
